description, formula, lifetime, radeff, agwp20
HFC125, CHF2CF3, 28.2, 0.23, 1.52e-10
HFC134a, CH2FCF3, 13.4, 0.16, 9.26e-11
HFC143a, CH3CF3, 47.1, 0.16, 1.73e-10
HFC227ea, CF3CHFCF3, 38.9, 0.26, 1.34e-10
HFC23, CHF3, 222.0, 0.18, 2.70e-10
HFC245fa, CHF2CH2CF3, 7.7, 0.24, 7.29e-11
HFC32, CH2F2, 5.2, 0.11, 6.07e-11
HFC4310mee, CF3CHFCHFCF2CF3, 16.1, 0.42, 1.08e-10
C2F6, C2F6, 10000, 0.25, 2.05e-10
C6F14, C6F14, 3100, 0.44, 1.47e-10
CF4, CF4, 50000, 0.09, 1.22e-10
SF6, SF6, 3200, 0.57, 4.37e-10
CCl4, CCl4, 26, 0.17, 8.69e-11
CFC11, CCl3F, 45, 0.26, 1.72e-10
CFC113, CCl2FCClF2, 85, 0.3, 1.62e-10
CFC114, CClF2CClF2, 190, 0.31, 1.92e-10
CFC115, CClF2CF3, 1020, 0.20, 1.46e-10
CFC12, CCl2F2, 100, 0.32, 2.69e-10
CH3Br, CH3Br, 0.8, 0.004, 2.16e-13
CH3CCl3, CH3CCl3, 5, 0.07, 1.44e-11
CH3Cl, CH3Cl, 1, 0.01, 1.12e-12
HCFC141b, CH3CCl2F, 9.2, 0.16, 6.36e-11
HCFC142b, CH4CClF2, 17.2, 0.19, 1.25e-10
HCFC22, CHClF2, 11.9, 0.21, 1.32e-10
Halon1202, CBr2F2, 2.9, 0.27, 2.12e-11
Halon1211, CBrClF2, 16, 0.29, 1.15e-10
Halon1301, CBrF3, 65, 0.3, 1.95e-10
Halon2402, CBrF2CBrF2, 20, 0.31, 8.59e-11
HFC152a, CH3CHF2, 1.5, 0.1, 1.26e-11
HFC236fa, CF3CH2CF3, 242, 0.24, 1.73e-10
HFC365mfc, CH3CF2CH2CF3, 8.7, 0.22, 6.64e-11
NF3, NF3, 500, 0.2, 3.19e-10
C3F8, C3F8, 2600, 0.28, 1.66e-10
C4F10, C4F10, 2600, 0.36, 1.71e-10
C5F12, C5F12, 4100, 0.41, 1.58e-10
C7F16, C7F16, 3000, 0.5, 1.45e-10
C8F18, C8F18, 3000, 0.55, 1.42e-10
cC4F8, C4F8, 3200, 0.32, 1.77e-10
SO2F2, SO2F2, 36, 0.2, 1.71e-10
CH2Cl2, CH2Cl2, 0.4, 0.03, 8.18e-13
CHCl3, CHCl3, 0.4, 0.08, 1.50e-12
